account_age_days,followers_count,following_count,follower_following_ratio,total_tweets,tweets_per_day,has_profile_image,has_bio,bio_length,has_url,username_length,username_digit_ratio,has_default_profile,listed_count,favorites_count,favorites_per_day,retweet_ratio,avg_tweets_per_hour_variance,unique_sources_count,is_verified,label
4304,0,213,0.0,7110,1.652,1,0,0,1,7,0.0464,0,17,12873,2.9909,0.326,12.8084,5,0,0
197,7,2672,0.0026,64,0.3249,0,1,43,0,20,0.3765,0,1,14,0.0711,0.1342,1.2652,1,0,1
1762,653,972,0.6718,2146,1.2179,1,1,72,0,11,0.276,0,0,15845,8.9926,0.2731,5.1799,3,0,0
4699,2128,308,6.9091,729,0.1551,1,1,74,0,4,0.0782,0,0,699,0.1488,0.2588,10.1163,5,0,0
3121,1439,986,1.4594,5004,1.6033,1,1,25,0,11,0.2884,1,11,0,0.0,0.1069,7.1293,1,0,0
4144,0,308,0.0,1913,0.4616,1,1,141,0,11,0.0238,0,5,9291,2.242,0.3289,9.2481,2,0,0
3577,618,1,618.0,3008,0.8409,1,0,0,0,9,0.2827,0,5,10357,2.8954,0.4914,8.4194,2,0,0
227,2135,381,5.6037,92752,408.5991,1,0,0,1,10,0.3142,0,0,353,1.5551,0.8156,0.9152,2,0,1
3396,1336,26,51.3846,4908,1.4452,1,1,136,1,15,0.1296,0,0,16972,4.9976,0.1866,12.1801,2,0,0
2148,33,1,33.0,6574,3.0605,1,1,92,1,13,0.0982,0,0,4478,2.0847,0.0651,4.9756,3,0,0
198,137,63,2.1746,1572,7.9394,0,1,61,1,5,0.1621,0,0,1501,7.5808,0.1266,5.8325,3,0,0
580,16,7125,0.0022,200,0.3448,1,1,22,0,12,0.3553,0,0,18,0.031,0.0131,1.3219,1,0,1
815,354,1478,0.2395,13876,17.0258,1,1,66,0,18,0.2254,0,2,2648,3.2491,0.5662,3.9887,3,0,1
1985,130,1,130.0,584,0.2942,1,1,91,0,8,0.2482,0,7,1753,0.8831,0.2729,13.216,4,0,0
4488,1585,1,1585.0,7217,1.6081,1,1,74,0,4,0.0494,1,0,0,0.0,0.4033,5.7082,5,0,0
166,3663,396,9.25,50518,304.3253,1,1,66,0,5,0.473,0,2,429,2.5843,0.8994,0.4208,1,0,1
31,47,2358,0.0199,42578,1373.4839,0,0,0,0,9,0.7833,0,2,27,0.871,0.6647,1.0405,1,0,1
801,0,1,0.0,8612,10.7516,1,1,85,0,13,0.1299,0,36,0,0.0,0.185,12.3312,4,0,0
1167,1211,1,1211.0,3070,2.6307,1,1,131,0,5,0.2528,0,26,2372,2.0326,0.2787,11.3099,5,0,0
312,1071,291,3.6804,69724,223.4744,1,1,63,0,7,0.2748,1,1,306,0.9808,0.8954,0.2643,2,0,1
4113,1976,90,21.9556,0,0.0,1,1,152,1,10,0.1616,0,29,0,0.0,0.4948,8.4748,2,0,0
4989,73,63,1.1587,581,0.1165,1,1,59,0,6,0.2361,0,0,0,0.0,0.3075,5.2491,3,0,0
281,4,4348,0.0009,188,0.669,0,0,0,0,13,0.552,1,0,40,0.1423,0.0926,0.0715,1,0,1
271,19,2682,0.0071,119,0.4391,0,1,41,0,10,0.4315,1,1,25,0.0923,0.143,0.6894,1,0,1
2535,264,189,1.3968,2792,1.1014,0,1,80,0,6,0.1166,0,6,10333,4.0761,0.2931,9.6354,2,0,0
199,45,825,0.0545,23212,116.6432,0,0,0,0,13,0.4999,0,2,70,0.3518,0.6899,0.6319,1,0,1
2660,0,423,0.0,7033,2.644,1,1,159,0,11,0.1567,0,13,446,0.1677,0.0987,12.9995,5,0,0
3898,449,167,2.6886,3895,0.9992,1,1,131,0,15,0.0268,0,0,2171,0.557,0.0968,13.0991,2,0,0
316,2722,237,11.4852,40438,127.9684,0,1,77,1,14,0.4339,0,0,475,1.5032,0.9666,1.2266,2,0,1
3765,2157,208,10.3702,3027,0.804,1,1,24,1,9,0.0314,0,12,336,0.0892,0.4678,7.8023,5,0,0
4855,657,1058,0.621,0,0.0,0,1,25,0,8,0.2759,0,14,2910,0.5994,0.1255,3.9376,3,0,0
445,500,122,4.0984,33463,75.1978,1,0,0,1,20,0.4235,0,2,486,1.0921,0.9449,1.0924,2,0,1
800,0,263,0.0,4894,6.1175,1,1,74,0,14,0.0675,0,0,0,0.0,0.4391,14.5728,1,0,0
921,69,727,0.0949,0,0.0,1,1,102,1,12,0.0743,0,0,6236,6.7709,0.3125,4.7678,4,0,0
1834,1413,392,3.6046,0,0.0,1,1,68,0,9,0.1715,0,15,3010,1.6412,0.1364,5.4716,5,0,0
631,3143,499,6.2986,23121,36.6418,1,0,0,1,11,0.3089,0,2,139,0.2203,0.8643,0.7661,1,0,1
4743,1077,146,7.3767,0,0.0,1,1,35,0,9,0.2947,0,2,1877,0.3957,0.3684,14.8828,5,0,0
3228,1304,676,1.929,885,0.2742,0,1,26,0,6,0.1688,0,15,2262,0.7007,0.1354,13.0819,3,0,0
1063,192,3,64.0,2321,2.1834,1,1,135,1,10,0.2526,0,16,9966,9.3754,0.3858,12.2937,3,0,0
110,45,3934,0.0114,34248,311.3455,0,0,0,1,14,0.3524,1,0,57,0.5182,0.8628,0.8103,1,0,1
4156,1011,283,3.5724,1150,0.2767,1,1,70,0,15,0.2811,0,8,2007,0.4829,0.1203,10.5363,4,0,0
695,682,236,2.8898,30218,43.4791,1,1,52,0,12,0.375,0,7,37,0.0532,0.9741,1.1751,1,0,1
255,2667,415,6.4265,37250,146.0784,0,1,23,0,13,0.2956,0,0,473,1.8549,0.7237,1.7745,2,0,1
4863,1681,9,186.7778,4292,0.8826,0,1,43,0,12,0.2587,0,14,10258,2.1094,0.4266,6.7167,3,0,0
1672,1315,1022,1.2867,13279,7.942,0,1,100,0,7,0.1802,0,0,1711,1.0233,0.363,2.3406,3,0,1
2971,1431,33,43.3636,2882,0.97,1,1,152,0,9,0.0418,0,16,0,0.0,0.4852,11.1936,5,0,0
96,35,4823,0.0073,40357,420.3854,1,0,0,0,10,0.5192,1,3,10,0.1042,0.7597,0.111,1,0,1
876,732,473,1.5476,5530,6.3128,0,1,108,0,12,0.1248,0,10,0,0.0,0.4509,13.6845,4,0,0
603,1508,1391,1.0841,5452,9.0415,1,0,0,1,4,0.2603,0,10,8420,13.9635,0.1467,11.3131,2,0,0
3532,0,133,0.0,3429,0.9708,1,0,0,1,6,0.1521,0,25,13323,3.7721,0.1969,8.7005,3,1,0
2551,424,118,3.5932,1611,0.6315,1,0,0,0,12,0.1539,0,0,672,0.2634,0.2781,7.6897,1,0,0
206,0,4408,0.0,196,0.9515,0,0,0,0,5,0.5322,1,0,3,0.0146,0.1029,1.5476,1,0,1
51,34,4840,0.007,32026,627.9608,0,0,0,0,6,0.3526,1,5,36,0.7059,0.8949,0.6956,1,0,1
582,1361,798,1.7055,0,0.0,1,1,135,0,12,0.1172,0,0,1002,1.7216,0.1878,2.2166,2,0,0
721,8,1083,0.0074,59,0.0818,1,0,0,0,14,0.6512,1,5,22,0.0305,0.2065,1.3291,1,0,1
573,7,3170,0.0022,20,0.0349,1,0,0,0,13,0.6237,1,0,31,0.0541,0.194,0.2657,1,0,1
632,0,538,0.0,4290,6.788,1,1,154,0,15,0.0338,0,15,281,0.4446,0.3108,9.2581,5,0,0
49,16,3075,0.0052,4103,83.7347,0,0,0,0,17,0.6149,0,0,32,0.6531,0.8328,0.34,1,0,1
35,11,4020,0.0027,20,0.5714,0,0,0,0,11,0.5704,1,0,45,1.2857,0.2371,1.6258,1,0,1
384,11,2737,0.004,69,0.1797,1,0,0,0,12,0.4402,0,4,38,0.099,0.1566,0.7867,1,0,1
1674,680,691,0.9841,1369,0.8178,1,0,0,1,13,0.2951,0,0,0,0.0,0.4963,6.7478,3,0,0
1013,1598,215,7.4326,2334,2.304,1,1,109,0,6,0.1588,1,0,3082,3.0424,0.3921,5.9349,2,0,0
1116,0,524,0.0,155,0.1389,1,1,135,1,14,0.0128,0,0,11279,10.1066,0.3649,9.2904,2,0,0
174,35,909,0.0385,3262,18.7471,0,0,0,1,16,0.5384,0,4,98,0.5632,0.8687,0.8267,1,0,1
1373,1148,294,3.9048,2454,1.7873,1,1,137,1,12,0.2555,0,19,7962,5.799,0.1436,7.2753,4,0,0
2508,0,1,0.0,70,0.0279,1,1,68,1,7,0.0076,0,0,3358,1.3389,0.4067,10.3643,4,0,0
3101,351,1,351.0,158,0.051,1,1,115,0,9,0.2302,0,24,0,0.0,0.3541,7.3017,4,0,0
3449,0,254,0.0,899,0.2607,1,1,42,0,15,0.1814,0,0,1585,0.4596,0.4315,5.3756,5,0,0
4986,192,783,0.2452,0,0.0,1,0,0,0,6,0.1373,0,6,8639,1.7327,0.3708,4.5972,2,0,0
2831,1209,724,1.6699,1896,0.6697,1,1,44,1,8,0.0993,0,0,0,0.0,0.3913,2.5216,2,0,0
488,1018,414,2.4589,94671,193.998,1,1,51,0,11,0.1323,0,0,91,0.1865,0.8058,1.742,1,0,1
3830,1593,702,2.2692,3359,0.877,1,1,130,0,12,0.1309,0,0,5698,1.4877,0.387,9.0868,2,0,0
789,1131,331,3.4169,4809,6.0951,1,1,110,1,10,0.2032,1,0,2572,3.2598,0.1222,11.8246,2,0,0
1080,2899,826,3.5097,13775,12.7546,1,0,0,1,12,0.2586,0,1,2930,2.713,0.3778,3.6231,1,0,1
993,1369,338,4.0503,6710,6.7573,1,1,130,0,14,0.0419,0,7,8274,8.3323,0.4568,12.9753,1,0,0
118,25,3697,0.0068,49195,416.9068,0,0,0,1,15,0.4284,1,0,13,0.1102,0.6049,1.2805,1,0,1
1279,385,1,385.0,1885,1.4738,1,1,62,0,13,0.2461,0,8,0,0.0,0.1973,3.208,5,0,0
224,1844,460,4.0087,4369,19.5045,1,1,43,0,5,0.239,0,28,5709,25.4866,0.2901,13.1433,5,0,0
2817,1064,393,2.7074,0,0.0,1,1,58,0,15,0.2092,0,4,7587,2.6933,0.3464,8.5287,4,0,0
3825,1480,535,2.7664,1817,0.475,1,1,140,1,10,0.2024,0,12,0,0.0,0.2494,9.3803,5,0,0
166,3,2261,0.0013,29501,177.7169,1,0,0,1,10,0.4497,1,1,10,0.0602,0.9416,0.3234,1,0,1
2477,0,276,0.0,0,0.0,1,1,98,1,6,0.0062,0,5,357,0.1441,0.375,12.9855,4,0,0
19,21,1263,0.0166,49571,2609.0,1,0,0,0,11,0.7111,0,5,18,0.9474,0.8789,0.9471,1,0,1
665,9,6156,0.0015,69,0.1038,1,1,40,0,5,0.5293,1,5,32,0.0481,0.1807,1.7658,1,0,1
1296,665,380,1.75,5019,3.8727,1,1,27,0,9,0.2215,0,7,854,0.659,0.4678,10.4115,5,0,0
1122,243,20,12.15,1314,1.1711,0,1,21,0,6,0.2303,0,5,5135,4.5766,0.4678,12.3659,3,0,0
1851,860,1696,0.5071,5567,3.0076,0,1,117,0,11,0.3829,1,0,359,0.1939,0.6998,0.8858,3,0,1
2798,243,512,0.4746,95,0.034,1,0,0,0,9,0.1559,0,23,5993,2.1419,0.2473,3.2437,4,0,0
4285,0,944,0.0,4771,1.1134,1,1,42,1,7,0.0701,0,0,9603,2.2411,0.1219,4.6265,3,0,0
3223,586,859,0.6822,1395,0.4328,1,0,0,1,5,0.2648,0,0,8049,2.4974,0.2211,6.1743,1,0,0
1003,262,201,1.3035,3228,3.2183,1,1,119,1,4,0.1741,0,23,0,0.0,0.2001,8.3844,5,0,0
614,1980,56,35.3571,14825,24.145,1,0,0,0,8,0.1245,1,0,61,0.0993,0.8761,0.8507,2,0,1
39,2754,203,13.5665,76026,1949.3846,1,0,0,1,12,0.1069,1,0,448,11.4872,0.9209,1.1223,2,0,1
180,1837,1605,1.1445,14167,78.7056,1,1,45,0,11,0.1336,0,0,2232,12.4,0.5778,2.3855,3,0,1
2209,936,305,3.0689,2522,1.1417,1,1,102,1,4,0.1805,1,21,5704,2.5822,0.3952,3.7997,4,0,0
4338,2483,450,5.5178,0,0.0,1,0,0,1,11,0.142,0,0,5064,1.1674,0.4506,14.9928,2,0,0
4156,0,696,0.0,3499,0.8419,1,1,138,1,7,0.0069,0,0,3794,0.9129,0.2622,4.1586,1,0,0
451,1096,236,4.6441,92229,204.4989,1,1,39,1,10,0.2377,1,0,233,0.5166,0.8439,1.0305,2,0,1
1169,2783,1773,1.5697,6941,5.9376,1,1,87,0,14,0.0706,0,0,2910,2.4893,0.3681,2.3976,3,0,1
4121,937,130,7.2077,899,0.2182,1,1,121,1,13,0.114,0,0,4946,1.2002,0.4206,10.4635,5,0,0
956,182,1,182.0,539,0.5638,1,1,140,0,6,0.152,0,0,3443,3.6015,0.3276,6.5859,3,0,0
74,31,3825,0.0081,25806,348.7297,0,0,0,1,15,0.5156,0,0,38,0.5135,0.8152,0.1382,1,0,1
3427,653,407,1.6044,6036,1.7613,1,1,118,0,10,0.264,0,0,12958,3.7811,0.4023,7.903,3,0,0
3882,0,1,0.0,8077,2.0806,1,0,0,0,8,0.2744,0,15,0,0.0,0.3123,4.0599,2,0,0
3732,0,1,0.0,5062,1.3564,1,1,92,1,12,0.1757,0,5,0,0.0,0.2813,10.6622,5,0,0
127,18,3147,0.0057,29311,230.7953,0,0,0,1,5,0.365,0,0,86,0.6772,0.8786,0.9378,1,0,1
1373,2835,306,9.2647,11802,8.5958,0,0,0,0,18,0.2899,0,3,2599,1.8929,0.3945,1.2956,3,0,1
142,35,3900,0.009,36639,258.0211,0,0,0,1,19,0.6552,0,0,12,0.0845,0.8556,0.7854,1,0,1
182,1224,1224,1.0,0,0.0,1,1,71,0,5,0.0531,0,0,5579,30.6538,0.3595,13.2681,2,0,0
416,18,3576,0.005,18,0.0433,1,0,0,0,8,0.6483,1,0,3,0.0072,0.0487,1.7504,1,0,1
386,10,6641,0.0015,150,0.3886,1,1,4,0,6,0.5977,0,1,47,0.1218,0.0511,0.7001,1,0,1
4075,1305,436,2.9931,928,0.2277,1,1,78,1,10,0.2739,0,15,0,0.0,0.4249,5.3694,1,0,0
4401,1491,84,17.75,2244,0.5099,0,1,127,0,4,0.1443,0,4,2129,0.4838,0.2412,11.0484,3,0,0
80,22,1617,0.0136,34673,433.4125,0,0,0,0,13,0.5535,1,0,3,0.0375,0.8822,1.3069,1,0,1
4009,0,1530,0.0,6526,1.6278,0,1,132,1,10,0.1504,0,13,791,0.1973,0.0649,4.8019,4,0,0
31,12,861,0.0139,10399,335.4516,0,0,0,1,16,0.585,0,0,31,1.0,0.8273,0.4799,1,0,1
4108,842,1,842.0,4124,1.0039,1,1,105,1,14,0.2765,0,0,1102,0.2683,0.2717,8.9708,2,0,0
969,7,1135,0.0062,122,0.1259,1,0,0,0,9,0.6124,1,1,40,0.0413,0.0184,1.6495,1,0,1
2537,740,1,740.0,0,0.0,1,0,0,1,10,0.0378,0,19,0,0.0,0.2831,12.9096,1,0,0
178,1418,466,3.0429,14704,82.6067,1,1,62,1,7,0.4311,0,0,5,0.0281,0.7211,1.2407,1,0,1
196,1082,122,8.8689,40079,204.4847,1,1,27,1,13,0.1375,0,0,205,1.0459,0.9227,0.9292,1,0,1
3566,106,660,0.1606,0,0.0,1,1,26,0,6,0.1661,0,0,0,0.0,0.0747,10.6084,5,0,0
47,41,2906,0.0141,805,17.1277,0,0,0,1,6,0.4134,0,4,10,0.2128,0.7658,0.8853,1,0,1
424,1844,103,17.9029,1018,2.4009,1,1,101,0,15,0.1374,0,40,4157,9.8042,0.095,2.9132,5,0,0
4417,759,135,5.6222,0,0.0,1,1,36,1,11,0.0262,0,21,14362,3.2515,0.0846,4.142,1,0,0
3961,257,732,0.3511,2484,0.6271,1,1,57,1,11,0.0519,0,1,11951,3.0172,0.1068,7.5039,4,0,0
3079,1172,303,3.868,0,0.0,1,1,26,0,5,0.1262,0,0,4616,1.4992,0.4522,12.7144,2,0,0
114,24,4962,0.0048,9466,83.0351,0,1,10,1,8,0.3679,1,5,90,0.7895,0.8628,0.4858,1,0,1
264,779,342,2.2778,7676,29.0758,0,0,0,0,19,0.3511,0,1,362,1.3712,0.7828,1.3136,2,0,1
3696,168,361,0.4654,6981,1.8888,1,1,157,1,11,0.1697,0,9,0,0.0,0.3077,5.4826,5,0,0
4117,1020,279,3.6559,4252,1.0328,1,0,0,1,10,0.2256,0,5,2331,0.5662,0.0652,6.2065,3,0,0
1264,392,269,1.4572,647,0.5119,1,1,52,1,9,0.2427,0,7,5892,4.6614,0.1002,7.5557,5,0,0
684,4014,458,8.7642,40141,58.6857,1,1,77,1,7,0.4046,0,0,499,0.7295,0.8898,1.373,2,0,1
67,591,640,0.9234,2845,42.4627,1,1,41,0,8,0.0431,0,0,12488,186.3881,0.1496,11.0315,3,0,0
4237,472,389,1.2134,4656,1.0989,1,1,61,1,11,0.1924,0,6,11025,2.6021,0.2968,9.3412,1,0,0
56,1248,341,3.6598,19722,352.1786,0,1,29,1,8,0.4428,0,7,288,5.1429,0.8759,0.5245,1,0,1
3275,0,1112,0.0,3980,1.2153,1,0,0,0,6,0.019,0,13,11336,3.4614,0.3777,14.0353,5,0,0
853,11,5982,0.0018,113,0.1325,0,0,0,0,19,0.2462,1,0,19,0.0223,0.0895,0.7001,1,0,1
416,4,3895,0.001,199,0.4784,1,0,0,0,14,0.6849,0,0,31,0.0745,0.0842,0.8034,1,0,1
4506,1392,265,5.2528,160,0.0355,1,1,139,1,13,0.2743,0,12,4217,0.9359,0.1831,5.4235,3,0,0
288,5,4545,0.0011,51,0.1771,1,0,0,0,8,0.5625,1,2,16,0.0556,0.2238,0.3171,1,0,1
180,6,1374,0.0044,52,0.2889,1,0,0,0,8,0.275,1,0,4,0.0222,0.1623,1.3515,1,0,1
1442,726,1349,0.5382,5226,3.6241,1,1,123,1,10,0.2176,0,0,0,0.0,0.1728,12.2634,4,0,0
4460,360,687,0.524,939,0.2105,1,1,40,1,6,0.0334,0,0,3412,0.765,0.4193,14.1079,4,0,0
139,22,1479,0.0149,20697,148.8993,0,0,0,0,15,0.7873,0,2,74,0.5324,0.8787,0.8626,1,0,1
37,24,2564,0.0094,2391,64.6216,1,0,0,0,17,0.3676,1,2,59,1.5946,0.8949,0.2888,1,0,1
158,32,4400,0.0073,35550,225.0,0,0,0,1,11,0.5745,0,0,83,0.5253,0.6231,1.3327,1,0,1
951,12,4434,0.0027,137,0.1441,1,1,38,0,17,0.5214,1,1,17,0.0179,0.1347,1.2125,1,0,1
2864,2005,596,3.3641,146,0.051,1,1,104,1,14,0.242,1,22,3480,1.2151,0.3601,11.6095,5,0,0
4493,214,347,0.6167,5577,1.2413,1,1,23,1,11,0.0215,0,0,3355,0.7467,0.3488,10.5355,2,0,0
2510,0,1148,0.0,3084,1.2287,0,1,131,0,12,0.1106,0,2,5056,2.0143,0.0823,9.2034,1,0,0
999,17,6183,0.0027,147,0.1471,0,0,0,0,19,0.3669,1,2,19,0.019,0.1093,0.2775,1,0,1
3381,754,1,754.0,0,0.0,1,1,92,0,7,0.1348,0,11,735,0.2174,0.4237,9.8109,5,0,0
316,10,1651,0.0061,60,0.1899,0,0,0,0,15,0.2559,0,3,45,0.1424,0.1381,0.4515,1,0,1
141,9,4579,0.002,149,1.0567,0,0,0,0,11,0.5125,1,1,43,0.305,0.1881,0.7535,1,0,1
3349,1015,509,1.9941,0,0.0,1,1,36,1,4,0.0569,0,23,1414,0.4222,0.2898,10.7323,1,0,0
2685,222,375,0.592,0,0.0,1,1,21,1,14,0.187,0,26,0,0.0,0.0835,12.8212,4,0,0
4992,1181,783,1.5083,1958,0.3922,1,1,27,0,4,0.1279,1,2,7818,1.5661,0.4242,12.2333,2,0,0
778,1,6567,0.0002,115,0.1478,1,1,43,0,12,0.581,1,0,11,0.0141,0.2586,0.8251,1,0,1
4311,1748,84,20.8095,700,0.1624,1,1,92,0,6,0.2742,0,3,0,0.0,0.4879,8.6474,5,0,0
343,1003,197,5.0914,0,0.0,1,1,101,1,12,0.1639,0,5,2721,7.9329,0.4848,9.1296,5,0,0
2278,0,750,0.0,3702,1.6251,1,1,120,0,8,0.1638,0,11,0,0.0,0.162,14.6783,4,0,0
410,0,4996,0.0,109,0.2659,0,0,0,0,11,0.4375,1,4,49,0.1195,0.0692,0.5769,1,0,1
1053,0,241,0.0,4737,4.4986,1,0,0,0,13,0.1241,1,2,3191,3.0304,0.1975,10.0689,5,0,0
4620,0,1257,0.0,3133,0.6781,1,1,66,1,8,0.2765,0,8,5526,1.1961,0.3458,2.9046,1,0,0
629,2112,400,5.28,79333,126.1256,0,1,21,0,16,0.1573,1,0,70,0.1113,0.9873,0.3332,1,0,1
251,214,769,0.2783,8414,33.5219,1,1,129,1,10,0.1683,0,28,8162,32.5179,0.1601,2.2238,4,0,0
536,1324,332,3.988,98848,184.4179,1,1,22,0,17,0.1409,1,0,437,0.8153,0.8666,0.8982,1,0,1
4405,681,757,0.8996,440,0.0999,1,1,41,0,6,0.0472,0,17,1167,0.2649,0.3479,8.3136,4,0,0
995,873,61,14.3115,1081,1.0864,1,1,21,0,6,0.0786,0,7,0,0.0,0.2512,12.8585,4,0,0
2818,0,745,0.0,0,0.0,1,1,66,0,13,0.2427,0,0,4963,1.7612,0.3544,5.0879,4,0,0
1773,1788,1136,1.5739,1824,1.0288,1,1,112,0,19,0.2183,0,0,1070,0.6035,0.5382,1.5392,3,0,1
614,0,200,0.0,0,0.0,1,0,0,1,12,0.0448,0,14,0,0.0,0.4602,4.2725,5,0,0
87,33,4689,0.007,16632,191.1724,1,0,0,0,6,0.328,1,0,51,0.5862,0.7441,1.1486,1,0,1
3535,267,489,0.546,252,0.0713,1,0,0,0,10,0.194,0,4,111,0.0314,0.2567,6.3123,1,0,0
3547,0,878,0.0,5746,1.62,1,1,60,0,12,0.2707,0,8,4349,1.2261,0.1248,3.3766,3,0,0
192,1409,184,7.6576,91117,474.5677,1,1,64,1,5,0.2799,1,4,243,1.2656,0.9921,0.4722,1,0,1
152,26,1290,0.0202,11956,78.6579,0,0,0,0,17,0.3822,0,1,97,0.6382,0.8393,1.206,1,0,1
3602,0,1,0.0,0,0.0,1,1,52,1,5,0.0452,0,11,0,0.0,0.3685,8.5325,2,0,0
2207,1215,625,1.944,5877,2.6629,1,1,111,1,15,0.0382,1,0,0,0.0,0.4618,4.1136,1,0,0
183,3,6974,0.0004,148,0.8087,1,0,0,0,19,0.3263,1,0,7,0.0383,0.2087,0.797,1,0,1
119,4974,250,19.896,13357,112.2437,1,0,0,0,5,0.4881,1,0,354,2.9748,0.949,1.4666,1,0,1
3072,0,675,0.0,0,0.0,1,1,130,1,6,0.2064,0,2,8057,2.6227,0.299,5.0232,5,0,0
200,12,4342,0.0028,49214,246.07,1,0,0,1,8,0.451,1,2,97,0.485,0.6847,0.442,1,0,1
320,1745,266,6.5602,83722,261.6313,0,1,50,1,19,0.2662,0,0,227,0.7094,0.7619,1.0939,2,0,1
3096,755,214,3.528,0,0.0,1,1,83,1,7,0.1412,1,0,3348,1.0814,0.159,8.017,2,0,0
2463,365,1,365.0,0,0.0,1,1,140,0,6,0.1866,0,22,2965,1.2038,0.1081,4.5933,5,0,0
2823,910,1,910.0,3488,1.2356,1,1,35,0,4,0.1813,0,13,7247,2.5671,0.2406,14.3271,4,0,0
1466,704,1035,0.6802,2562,1.7476,1,0,0,1,13,0.0878,0,5,2873,1.9598,0.677,3.1893,2,0,1
736,0,777,0.0,1208,1.6413,1,1,100,0,10,0.197,0,1,1857,2.5231,0.1946,5.0973,5,1,0
907,0,1584,0.0,66,0.0728,0,0,0,0,6,0.412,1,3,33,0.0364,0.2336,0.0598,1,0,1
2451,532,63,8.4444,2692,1.0983,1,0,0,0,7,0.1754,0,0,9907,4.042,0.1021,6.9378,2,0,0
1646,644,1,644.0,4776,2.9016,1,1,85,0,7,0.0002,1,12,0,0.0,0.2672,2.8592,4,0,0
3666,0,663,0.0,2275,0.6206,1,0,0,0,12,0.0631,0,0,2927,0.7984,0.1103,14.2913,4,0,0
1986,925,1,925.0,963,0.4849,1,1,29,1,13,0.2625,0,0,5595,2.8172,0.3752,5.6722,3,0,0
778,0,148,0.0,854,1.0977,1,1,90,0,15,0.0457,0,0,5723,7.356,0.2543,12.1545,4,0,0
458,0,1021,0.0,0,0.0,1,1,144,0,12,0.203,0,13,6778,14.7991,0.3392,14.264,5,0,0
1276,1056,419,2.5203,4410,3.4561,1,1,88,1,6,0.2287,0,10,10411,8.1591,0.2819,9.6827,3,0,0
1456,2359,1127,2.0932,6534,4.4876,1,1,32,0,15,0.1193,1,0,1869,1.2837,0.5641,2.6475,1,0,1
3864,868,252,3.4444,4635,1.1995,1,1,20,0,5,0.2894,0,14,16151,4.1799,0.4551,14.6643,3,0,0
4167,701,742,0.9447,2567,0.616,1,0,0,0,7,0.2117,0,13,0,0.0,0.2585,8.5734,4,0,0
1968,1379,631,2.1854,6761,3.4355,1,0,0,0,13,0.0997,0,3,6699,3.404,0.1425,3.4832,2,0,0
1492,2153,609,3.5353,10226,6.8539,1,0,0,1,12,0.1006,1,0,417,0.2795,0.4114,2.1224,3,0,1
913,527,163,3.2331,5727,6.2727,1,1,79,0,9,0.0224,0,20,1801,1.9726,0.4969,10.4371,1,0,0
155,2195,245,8.9592,97309,627.8,1,0,0,1,14,0.2979,0,1,406,2.6194,0.7193,1.2188,1,0,1
545,1113,446,2.4955,63406,116.3413,1,0,0,0,12,0.122,0,0,451,0.8275,0.7703,0.2587,1,0,1
3572,291,88,3.3068,0,0.0,1,1,78,1,6,0.1018,0,5,6030,1.6881,0.465,12.0985,2,0,0
469,15,2983,0.005,28,0.0597,0,0,0,0,10,0.6729,0,1,49,0.1045,0.0313,0.2644,1,0,1
